Initialization Time: 10.2061
Query, response, time
161:31753 4811 ((5493)+).((6281)+).((6274)+).((1417)+).((5493)+).((798)+).((5493)+).((10368)+) 1+, 0, 6.792e-05
162:86021 27377 ((8747)+).((7721)+).((5495)+).((6327)+).((5493)+).((1643)+).((5473)+).((6274)+) 1+, 0, 7.92e-06
163:1766 41900 (5493U6298U2444U17225U1174U17212)+ 1+, 1, 0.00407992
164:3070 80784 ((5493)+).((13622)+).((13536)+).((6327)+).((8268)+).((5493)+).((8725)+).((9925)+) 1+, 0, 0.00024192
165:47151 79783 (5493U5494U7384U12850U3288U3898)+ 1+, 1, 0.00089392
166:24233 53486 (10368.13725.5997.9979.5495.6536.14103.923)+ 1+, 0, 8.92e-06
167:45036 70746 ((15902)+).((5493)+).((5495)+).((6267)+).((6241)+).((6318)+) 1+, 0, 0.00015192
168:10684 19888 ((8526)+).((9925)+).((15643)+).((5493)+).((1417)+).((1593)+).((13598)+).((5493)+) 1+, 0, 7.92e-06
169:2166 75946 (5495.16448.7103.6325)+ 1+, 0, 4.492e-05
170:17467 36789 ((6241)+).((5493)+).((7721)+).((2644)+).((2449)+).((5493)+) 1+, 1, 0.0128819
171:76110 83580 (3118U5493U5494U15308U4806U6016)+ 1+, 1, 0.00338792
172:41507 55171 (15308.8510.2297.5495.5493.16757.8268.14052)+ 1+, 0, 0.00017892
173:58974 26516 ((5493)+).((6318)+).((11955)+).((5351)+).((7384)+).((5495)+) 1+, 1, 0.00208492
174:46513 57331 (5495.5493.6325.2006.8931.5493)+ 1+, 0, 7.92e-06
175:83694 57095 (5493U10338)+ 1+, 1, 0.00097592
176:100840 12900 (2297.2449.1891.15308)+ 1+, 1, 0.00103592
177:100705 101525 (5495U2872U6325U5493)+ 1+, 1, 0.00373992
178:25746 67972 (16448.5493.482.798.6241.15115)+ 1+, 0, 3.892e-05
179:52751 63428 (125U17248U15561U6213)+ 1+, 0, 0.00017392
180:14247 92951 (9977U5493)+ 1+, 1, 0.00041892
181:102629 11190 ((5559)+).((6274)+).((5493)+).((17248)+) 1+, 0, 0.00027492
182:30400 40059 ((5997)+).((12006)+).((923)+).((704)+) 1+, 0, 0.00037992
183:4048 34729 ((2887)+).((5493)+).((5495)+).((5493)+).((6168)+).((5493)+) 1+, 0, 8.92e-06
184:50187 32090 (9909U798U6281U17225)+ 1+, 1, 0.00098292
185:6275 97583 (5493.5495.7721.9690)+ 1+, 0, 7.92e-06
186:26793 47642 (5473U5493U5635U13852)+ 1+, 0, 0.00040192
187:18776 57832 ((5495)+).((5493)+) 1+, 0, 7.92e-06
188:47799 5533 ((2237)+).((5493)+).((650)+).((5493)+) 1+, 0, 0.00011392
189:92337 93359 (5495.2637.5493.2444.5495.2458)+ 1+, 0, 7.92e-06
190:7386 16483 (6168U13067U15960U2297)+ 1+, 1, 0.00029292
191:77447 45908 (5493.5494)+ 1+, 0, 7.92e-06
192:80406 29307 ((5493)+).((6213)+).((5493)+).((11266)+) 1+, 0, 7.92e-06
193:77024 88632 (479.18855.5024.5493)+ 1+, 0, 9.392e-05
194:932 68774 ((5002)+).((5493)+).((798)+).((6325)+).((5493)+).((8833)+) 1+, 0, 8.392e-05
195:91041 87004 ((15027)+).((5493)+).((14456)+).((14444)+) 1+, 0, 8.792e-05
196:75828 42910 (2297.798.608.6047)+ 1+, 0, 2.492e-05
197:79864 82286 ((5493)+).((7721)+).((2006)+).((5493)+) 1+, 0, 7.92e-06
198:77619 61848 ((7721)+).((5493)+).((3231)+).((1043)+).((16448)+).((5493)+) 1+, 0, 7.92e-06
199:83276 99603 ((5493)+).((3731)+).((5493)+).((8615)+).((8510)+).((5495)+).((6281)+).((5495)+) 1+, 0, 0.0120109
200:45682 48998 (6241U5493U1643U10272U5495U1417)+ 1+, 1, 0.00106692
201:73537 1105 (6327.6536)+ 1+, 0, 0.00048392
202:23938 23127 (3025.7721.5493.6274.5493.15310.5495.5493)+ 1+, 1, 0.00902892
203:24196 54341 ((8744)+).((5495)+).((9928)+).((5493)+).((5997)+).((14521)+).((5493)+).((8765)+) 1+, 0, 9.92e-06
204:85010 22318 (2644U5493U6274U6016U3288U17057)+ 1+, 1, 0.00074892
205:85819 3800 (7757.5494.6231.1357.798.5493)+ 1+, 0, 8.92e-06
206:13674 70897 (17225.5495.5493.15421.5493.6168.7721.5495)+ 1+, 0, 0.00028292
207:15882 67297 ((13797)+).((6228)+).((7721)+).((6325)+).((8945)+).((8268)+).((16448)+).((2872)+) 1+, 0, 4.092e-05
208:107018 34513 ((10338)+).((5493)+).((3470)+).((8721)+).((8268)+).((5493)+) 1+, 0, 0.00018392
209:36286 84093 (8833U13067U9441U731U608U16812)+ 1+, 1, 0.00525492
210:55125 5956 ((5495)+).((5493)+) 1+, 0, 8.92e-06
211:30428 59625 ((5493)+).((6168)+).((16716)+).((5493)+).((6016)+).((17057)+).((7721)+).((4806)+) 1+, 0, 0.00015492
212:51960 52625 ((6298)+).((5493)+).((14052)+).((5495)+).((5493)+).((15115)+) 1+, 0, 0.00017292
213:28188 79630 (5493U10753U2449U5495)+ 1+, 1, 0.00120892
214:86797 105064 (5493U5495U6168U2393U7721U6281U8262U15561)+ 1+, 1, 0.00343392
215:103824 102030 (13067U5493U9909U18855U8268U5495)+ 1+, 1, 0.00093892
216:94412 79428 (12442U5493U9030U9333)+ 1+, 0, 8.92e-06
217:55414 32547 ((5493)+).((13936)+).((5493)+).((5495)+).((3585)+).((8932)+) 1+, 0, 0.00011892
218:32193 22168 (5495.3118)+ 1+, 0, 0.00025592
219:66810 41981 (7468U5493U15115U491U13936U5002)+ 1+, 1, 0.00595592
220:55519 64187 (5495.13225.6274.17225.13067.8268.6281.5493)+ 1+, 1, 0.0109269
221:15270 10629 ((8268)+).((7721)+) 1+, 0, 0.00022092
222:69403 77695 (5495.14444)+ 1+, 0, 4.892e-05
223:58911 53421 ((8931)+).((650)+).((5493)+).((5495)+) 1+, 0, 0.00010892
224:80290 35531 (5493.1675.16448.5493.15027.18822.5899.5495)+ 1+, 1, 0.0124079
225:58566 81062 (6168U5493U8721U5495)+ 1+, 1, 0.00019492
226:99577 25408 (5493U5495U3731U6810U5635U14521U6318U11266)+ 1+, 0, 8.92e-06
227:101428 105612 (6745.18855.13067.2637)+ 1+, 0, 7.92e-06
228:75948 89994 ((15310)+).((7384)+).((5495)+).((14052)+) 1+, 1, 0.00262392
229:2368 91350 (18298.5493.7573.6327.16561.10175.10338.923)+ 1+, 0, 0.00016092
230:69545 55380 (16448U5493U3731U5495)+ 1+, 1, 0.00186192
231:34015 102311 ((5495)+).((5493)+).((8268)+).((5997)+) 1+, 0, 8.92e-06
232:103286 20770 ((5495)+).((5493)+).((425)+).((15093)+) 1+, 0, 8.92e-06
233:72573 80546 ((5493)+).((15902)+).((6230)+).((17903)+).((5635)+).((6267)+).((14052)+).((5495)+) 1+, 0, 0.0174019
234:106243 102526 (5189U6997U5495U798)+ 1+, 0, 9.92e-06
235:67402 90734 ((5493)+).((6241)+) 1+, 0, 9.392e-05
236:29629 75845 (2449.7721.2872.11776)+ 1+, 0, 0.00021292
237:39695 60174 (5493.7384.5493.6318.5002.17270.5493.5495)+ 1+, 1, 0.00491992
238:14676 38931 ((14052)+).((5495)+).((2393)+).((10140)+) 1+, 0, 3.592e-05
239:81382 97008 (6318U5493)+ 1+, 0, 7.92e-06
240:38867 36663 ((5473)+).((5495)+).((8757)+).((13067)+) 1+, 0, 7.192e-05
241:12395 63211 (14436.7573)+ 1+, 0, 0.00086392
242:20413 15813 (6047.2449.5635.5493.5462.13936.5493.16561)+ 1+, 0, 0.00017492
243:56185 57343 ((15224)+).((6213)+) 1+, 0, 6.792e-05
244:72294 70818 ((6274)+).((6318)+).((11266)+).((7721)+).((6325)+).((5493)+).((8370)+).((5493)+) 1+, 0, 0.0180799
245:17382 29575 ((5493)+).((14052)+).((5002)+).((7721)+).((13067)+).((7757)+).((2340)+).((5789)+) 1+, 0, 6.992e-05
246:35320 104260 (5495U13246)+ 1+, 1, 0.00064492
247:46456 13006 ((8725)+).((10175)+).((5493)+).((15308)+).((15299)+).((5495)+) 1+, 0, 0.0419219
248:52999 67669 (6016U17248U9030U5493U5495U17718)+ 1+, 0, 0.00932792
249:77235 100906 (5493U15902U5635U5495U3898U6298)+ 1+, 1, 0.00121692
250:56401 6491 ((6267)+).((16561)+).((13725)+).((5495)+).((6281)+).((5493)+).((6212)+).((5493)+) 1+, 0, 0.0217989
251:49950 106872 (16448.5495.2449.15561.7721.5495.7384.5495)+ 1+, 0, 0.00070292
252:88461 26771 ((5493)+).((6536)+).((5495)+).((798)+).((3470)+).((5493)+) 1+, 1, 0.00110992
253:16099 80880 ((5493)+).((8757)+) 1+, 0, 8.92e-06
254:14324 86744 (5493U5002U16317U15224U7468U15069U7721U6298)+ 1+, 1, 0.00363392
255:1323 102582 (8526.5495.7721.5493)+ 1+, 0, 0.00031692
256:92836 32307 (5493.6318)+ 1+, 1, 0.00139992
257:38062 3945 (16448.15561.13225.10025)+ 1+, 0, 3.192e-05
258:96260 528 (7468U5495U15069U8526U5493U8757)+ 1+, 1, 0.00158392
259:95260 65987 ((5493)+).((7721)+).((6241)+).((5495)+).((17248)+).((16448)+).((5494)+).((15224)+) 1+, 0, 0.00012492
260:86351 77652 ((18298)+).((16448)+).((10338)+).((6911)+).((3417)+).((8757)+) 1+, 0, 2.892e-05
261:99764 44397 (5495U5493U6327U13246)+ 1+, 1, 0.00261292
262:70690 89251 ((2203)+).((5493)+).((9909)+).((5493)+).((7384)+).((5493)+).((15902)+).((5493)+) 1+, 0, 9.92e-06
263:63781 46593 ((5247)+).((15308)+).((5495)+).((5493)+).((5495)+).((3283)+).((12479)+).((7721)+) 1+, 0, 2.792e-05
264:28585 83299 (5493U5247)+ 1+, 1, 0.00140392
265:75676 82850 ((8268)+).((5493)+).((16812)+).((13225)+).((5493)+).((10007)+).((5493)+).((5462)+) 1+, 0, 8.92e-06
266:84080 104437 (5493.1593.5493.17225.5462.7573)+ 1+, 0, 7.92e-06
267:57663 51607 ((16561)+).((5493)+) 1+, 0, 0.00016292
268:58905 79357 (5493U6228U3961U798U17248U15310)+ 1+, 0, 0.00013192
269:52569 80254 (5494U2637)+ 1+, 0, 1.092e-05
270:24783 1423 (16166.8747.15115.3633.6016.9909)+ 1+, 0, 0.00090792
271:1020 92465 (18994U17225U8268U2449U10168U5493)+ 1+, 1, 0.00773692
272:11642 29144 ((5493)+).((13025)+) 1+, 0, 9.92e-06
273:70362 105720 (6911.5493.15224.9441.5493.14436.18855.16757)+ 1+, 0, 8.92e-06
274:81442 2792 (5493U8268U9469U2887)+ 1+, 0, 6.92e-06
275:32541 28557 (2834U5002U14137U5493U15027U6274)+ 1+, 1, 0.00155392
276:60805 107097 (6168.17338)+ 1+, 0, 0.00074992
277:32637 4127 (5493U5189U10753U13067U2449U2637U1043U4816)+ 1+, 1, 0.00157792
278:48870 10158 ((2637)+).((5493)+).((9690)+).((7721)+).((7573)+).((7468)+) 1+, 0, 4.992e-05
279:63136 70986 ((1891)+).((4833)+) 1+, 0, 0.00024392
280:8434 64983 (5493.5494)+ 1+, 0, 0.00026192
